store,address,Latitude,Longitude,tel
이마트 산본점,경기도 군포시 산본로 347,37.3610506,126.9314088,031-450-1234
이마트 상봉점,서울특별시 중랑구 상봉로 118,37.596438,127.0935903,02-490-1234
이마트 상주점,경상북도 상주시 경상대로 3141,36.4277518,128.1510085,054-537-1234
이마트 서귀포점,제주특별자치도 서귀포시 일주동로 9209,33.2484335,126.5092187,064-797-1234
이마트 서산점,충청남도 서산시 서해로 3685,36.7885297,126.4785316,041-670-1234
이마트 서수원점,경기도 수원시 권선구 수인로 291,37.2825088,126.9701183,031-895-1234
이마트 성남점,경기도 성남시 수정구 수정로 201,37.4442613,127.1413754,031-8023-1234
이마트 성서점,대구광역시 달서구 이곡동로 24,35.8533378,128.5101866,053-605-1234
이마트 성수점,서울특별시 성동구 뚝섬로 379,37.5399389,127.0531674,02-3408-1234
이마트 세종점,세종특별자치시 금송로 687,36.4709543,127.2511952,044-902-1234
이마트 속초점,강원도 속초시 설악금강대교로 12,38.2049653,128.5935724,033-630-1234
이마트 수색점,"서울특별시 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1))",37.5796984,126.8987547,02-6943-1234
이마트 수서점,서울특별시 강남구 광평로 280,37.4872829,127.1031088,02-451-6123
이마트 수원점,"경기도 수원시 권선구 경수대로 270 (권선동, 주차빌딩)",37.2503146,127.0208435,031-207-1234
이마트 수지점,경기도 용인시 수지구 수지로 203 (신봉동),37.3196884,127.0833256,031-270-1234
이마트 순천점,전라남도 순천시 팔마로 191,34.942448,127.508434,061-749-1234
이마트 시화점,경기도 시흥시 정왕대로 210,37.345879,126.7368994,031-496-4123
이마트 신도림점,서울특별시 구로구 새말로 97 테크노마트 지하2층,37.5070431,126.8902185,02-6715-1234
이마트 신월점,서울특별시 양천구 화곡로 59,37.5397142,126.8285127,02-6716-1234
이마트 신제주점,제주특별자치도 제주시 1100로 3348,33.4849511,126.4804897,064-798-1234
이마트 신촌점,"서울특별시 마포구 신촌로 94 (노고산동, 그랜드플라자)",37.5549516,126.9359732,02-6288-1234
이마트 아산점,충청남도 아산시 온천대로 1678,36.7763726,127.0217319,041-422-1234
이마트 안동점,경상북도 안동시 옥동 1길2,36.5583272,128.699306,054-850-1234
이마트 안산고잔점,경기도 안산시 단원구 원포공원1로 46,37.3031255,126.812847,031-599-1234
이마트 안성점,경기도 안성시 중앙로 246,37.0126934,127.2559145,031-686-1234
이마트 안양점,"경기도 안양시 동안구 관악대로 104 (비산동, 부방유통) 이마트 안양점",37.3984221,126.9348808,031-380-3300
이마트 양산점,경상남도 양산시 양산역6길 12,35.3369609,129.0262743,055-371-8123
이마트 양재점,서울특별시 서초구 매헌로 16,37.4629528,127.0369582,02-2155-1234
이마트 양주점,경기도 양주시 평화로 1713,37.8417466,127.0538748,031-860-0123
이마트 에코시티점,"전라북도 전주시 덕진구 세병서로 9 (송천동2가, 전주 에코시티 이마트) (세병서로 9)",35.8723104,127.1394932,063-906-5100
이마트 여수점,전라남도 여수시 좌수영로 277,34.7579142,127.7150203,061-650-1234
이마트 여의도점,서울특별시 영등포구 여의동로3길 10,37.5181371,126.9261297,02-2280-1234
이마트 여주점,경기도 여주시 세종로 151,37.2844549,127.6354062,031-887-6123
이마트 역삼점,서울특별시 강남구 역삼로 310,37.4992239,127.048424,02-6908-1234
이마트 연수점,인천광역시 연수구 경원대로 184,37.4041584,126.681106,032-820-1234
이마트 연제점,부산광역시 연제구 연수로 89 이마트 연제점,35.1759284,129.0812728,051-860-1234
이마트 영등포점,서울특별시 영등포구 영중로 15,37.517007,126.9041419,02-3468-1234
이마트 영천점,경상북도 영천시 최무선로 83,35.9581756,128.910111,054-330-1234
이마트 오산점,경기도 오산시 경기대로 181,37.1406271,127.0727154,031-369-7123
이마트 왕십리점,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,37.5616111,127.0385592,02-6438-1234
이마트 용산점,서울특별시 용산구 한강대로23길 55,37.5288539,126.9640447,02-6363-2200
이마트 용인점,경기도 용인시 처인구 명지로 53 이마트 용인점,37.231437,127.189175,031-326-1234
이마트 울산점,울산광역시 남구 남중로 48,35.5380178,129.3483974,052-220-1234
이마트 원주점,강원도 원주시 북원로 1928,37.3206214,127.9190288,033-749-1234
이마트 월계점,서울특별시 노원구 마들로3길 15 이마트 월계점,37.6265118,127.0619079,02-2092-1234
이마트 월배점,대구광역시 달서구 진천로 92 이마트 월배점,35.817143,128.5236661,053-607-1234
이마트 은평점,서울특별시 은평구 은평로 111 이마트 은평점,37.6007771,126.9204992,02-380-1234
이마트 의왕점,"경기도 의왕시 경수대로 262 (오전동, 서해그랑블) B1F~B2F 이마트의왕점",37.3500854,126.97331,031-8063-1234
이마트 의정부점,경기도 의정부시 민락로 210,37.7533135,127.1073975,031-850-1234
이마트 이수점,서울특별시 동작구 사당로 300 이수자이 B1,37.4843975,126.9804278,02-595-1234
이마트 이천점,경기도 이천시 이섭대천로 1440-50,37.2938305,127.4590649,031-644-8123
이마트 익산점,전라북도 익산시 평동로 705,35.9301951,126.9576491,063-860-1234
이마트 일산점,경기도 고양시 일산동구 중앙로 1124,37.6477852,126.7824175,031-900-1234
이마트 자양점,서울특별시 광진구 아차산로 272,37.5376127,127.0726183,02-2024-1234
이마트 전주점,전라북도 전주시 완산구 당산로 111,35.832564,127.1204648,063-259-1234
이마트 제주점,제주특별자치도 제주시 탑동로 38,33.5179985,126.5212165,064-729-1234
이마트 제천점,충청북도 제천시 장평천로 11,37.1231363,128.2228903,043-641-1234
이마트 죽전점,경기도 용인시 수지구 포은대로 552,37.3252976,127.1100001,031-888-1234
이마트 중동점,"경기도 부천시 석천로 188 (중동, (주)신세계이마트중동점)",37.504044,126.763924,032-718-1234
이마트 진접점,경기도 남양주시 진접읍 금강로유연들1길 154,37.7088559,127.1820536,031-522-1234
이마트 진주점,경상남도 진주시 진양호로 477,35.1915588,128.0774222,055-749-1234
이마트 창동점,서울특별시 도봉구 노해로 65길 4,37.6516821,127.046933,02-901-1234
이마트 창원점,경상남도 창원시 성산구 원이대로 608,35.2266376,128.6801916,055-211-1234
이마트 천안서북점,충청남도 천안시 서북구 삼성대로 20,36.838181,127.1578183,041-580-9123
이마트 천안점,충청남도 천안시 서북구 충무로 187,36.7958771,127.127097,041-620-1234
이마트 천안터미널점,충청남도 천안시 동남구 만남로 43,36.8196847,127.1543899,041-411-1234
이마트 천호점,서울특별시 강동구 천호대로 1017,37.5386477,127.1253669,02-2224-1234
이마트 청계천점,서울특별시 중구 청계천로 400,37.5708733,127.0213284,02-2290-1234
이마트 청주점,충청북도 청주시 서원구 청남로 1853,36.60086,127.4748031,043-210-1234
이마트 춘천점,강원도 춘천시 경춘로 2353,37.8637455,127.718073,032-240-1234
이마트 충주점,충청북도 충주시 중원대로 3420,36.9721214,127.9237718,043-841-1234
이마트 칠성점,대구광역시 북구 침산로 93,35.8851982,128.5898126,053-609-1234
이마트 킨텍스점,경기도 고양시 일산서구 킨텍스로 171(대화동),37.6747572,126.7557402,031-936-1123
이마트 태백점,강원도 태백시 굴거랑길 4,37.1999632,128.9618174,033-580-1234
이마트 통영점,경상남도 통영시 광도면 죽림4로 9,34.8871307,128.4180271,055-650-1234
이마트 파주운정점,경기도 파주시 한울로 123,37.7106854,126.7454839,031-931-2123
이마트 파주점,경기도 파주시 당하길 10,37.7469201,126.751036,031-950-1234
이마트 평촌점,경기도 안양시 동안구 시민대로 300,37.3947296,126.9637071,031-687-1234
이마트 평택점,경기도 평택시 영신로 29,37.0214562,127.0755828,031-371-1234
이마트 포천점,경기도 포천시 호국로 915,37.8479291,127.1608341,031-540-1234
이마트 포항이동점,경상북도 포항시 북구 대이로 188,36.0319273,129.3388313,054-721-1234
이마트 포항점,경상북도 포항시 남구 냉천로 10,35.9920307,129.3980639,054-223-1234
이마트 풍산점,경기도 고양시 일산동구 무궁화로 237,37.6688149,126.7791456,031-910-1234
이마트 하남점,경기도 하남시 덕풍서로 70,37.5528229,127.2054114,031-524-1234
이마트 하월곡점,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",37.6058335,127.0309281,02-6936-1234
이마트 해운대점,부산광역시 해운대구 좌동순환로 511,35.1659937,129.1673879,051-608-1234
이마트 화성봉담점,경기도 화성시 봉담읍 효행로 278,37.2233131,126.9727189,031-228-1234
이마트 화정점,경기도 고양시 덕양구 백양로 79,37.632646,126.8333839,031-995-1234
이마트 흥덕점,경기도 용인시 기흥구 흥덕중앙로 60,37.2757153,127.0733398,031-8021-1234
홈플러스 가양점,서울특별시 강서구 양천로 431,37.5642454,126.8499416,02-2063-2080
홈플러스 가좌점,인천광역시 서구 가정로 151번길 11,37.4975674,126.6706903,032-453-8000
홈플러스 간석점,인천광역시 남동구 경원대로 971,37.4695239,126.6890686,032-870-8000
홈플러스 강동점,서울특별시 강동구 양재대로 1571(메르디안 쇼핑센터),37.5456582,127.1422439,02-3400-8000
홈플러스 강릉점,강원도 강릉시 경강로 2120,37.7556587,128.8986211,033-649-8000
홈플러스 강서점,서울특별시 강서구 화곡로 398,37.5586315,126.8544319,02-2660-8000
홈플러스 거제점,경상남도 거제시 장평로 12,34.8911104,128.616421,055-686-8000
홈플러스 경기하남점,경기도 하남시 하남대로 747,37.5379631,127.2125925,031-777-7000
홈플러스 경산점,경상북도 경산시 경안로 288,35.8291168,128.734837,053-715-8000
홈플러스 경주점,경상북도 경주시 공단로 97,35.8736152,129.2246191,054-770-8000
홈플러스 계룡점,충청남도 계룡시 계룡대로 304,36.2739802,127.2571515,042-550-8000
홈플러스 계산점,인천광역시 계양구 오조산 공원로 14,37.5394297,126.736176,032-551-2080
홈플러스 고양터미널점,경기도 고양시 일산동구 중앙로 1036,37.6432013,126.7897215,031-936-7800
홈플러스 광양점,전라남도 광양시 항만11로 70,34.9285758,127.6942947,061-760-8000
홈플러스 광주계림점,광주광역시 동구 무등로 314,35.1614033,126.9166696,062-530-8000
홈플러스 광주하남점,광주광역시 광산구 용아로 390,35.1779828,126.8054265,062-616-8000
홈플러스 구미점,경상북도 구미시 구미대로 174,36.1027409,128.3637515,054-459-8000
홈플러스 구월점,인천광역시 남동구 예술로 198,37.4516923,126.7019408,032-428-2080
홈플러스 금천점,서울특별시 금천구 시흥대로 391,37.4686493,126.8968106,02-890-8000
홈플러스 김제점,전라북도 김제시 금성로 114,35.7997275,126.9028233,063-540-8000
홈플러스 김포점,경기도 김포시 중봉로 14,37.6240028,126.6987451,031-999-8000
홈플러스 김포풍무점,경기도 김포시 풍무로 167,37.6099507,126.7236531,031-999-0000
홈플러스 김해점,경상남도 김해시 김해대로 2078,35.2418908,128.8701192,055-320-8000
홈플러스 남대구점,대구광역시 남구 대명로 116,35.8388221,128.570119,053-659-8000
홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8606036,128.5635906,053-567-2080
홈플러스 논산점,충청남도 논산시 시민로 187,36.1833874,127.0981892,041-731-8000
홈플러스 대구수성점,대구광역시 수성구 동대구로 95,35.83871,128.6230423,053-760-8000
