store,address,Latitude,Longitude,tel
홈플러스 밀양점,경상남도 밀양시 점필재로 45,35.4889672,128.7407476,055-359-8000
홈플러스 방학점,서울특별시 도봉구 도봉로 678,37.6648183,127.0435994,02-912-2080
홈플러스 병점점,경기도 화성시 경기대로 985,37.2037172,127.0367495,031-283-2080
홈플러스 보령점,충청남도 보령시 명암1길 17,36.3439451,126.6139514,041-939-8000
홈플러스 부산감만점,부산광역시 남구 우암로 124,35.1216043,129.0822317,051-609-8000
홈플러스 부산반여점,부산광역시 해운대구 선수촌로21번길 37 (반여동),35.1964738,129.1157438,051-509-8000
홈플러스 부산연산점,부산광역시 연제구 연산동 105-1,35.1915763,129.089041,051-850-8000
홈플러스 부산정관점,부산광역시 기장군 정관면 정관5로 50,35.3230993,129.1763385,051-519-8200
홈플러스 부천상동점,경기도 부천시 원미구 길주로 118,37.5035125,126.7550458,032-650-8000
홈플러스 부천소사점,경기도 부천시 소사구 경인로 532,37.4848631,126.8142546,032-610-8000
홈플러스 부천여월점,경기도 부천시 오정구 소사로 663,37.5157838,126.8023814,032-680-8000
홈플러스 북수원점,경기도 수원시 장안구 경수대로 930,37.3027312,127.0087987,031-259-8000
홈플러스 분당오리점,경기도 성남시 분당구 구미동 159,37.3400065,127.1069645,031-884-2080
홈플러스 삼척점,강원도 삼척시 중앙로 258,37.4464129,129.1682996,033-571-8000
홈플러스 삼천포점,경상남도 사천시 중앙로 165,34.9404593,128.0799804,055-831-8000
홈플러스 상인점,대구광역시 달서구 월배로 183,35.8183052,128.5332096,053-380-8000
홈플러스 서귀포점,제주특별자치도 서귀포시 중앙로 180,33.2604879,126.5600101,064-731-8114
홈플러스 서대전점,대전광역시 유성구 대정로 23,36.3136886,127.3189679,042-540-8000
홈플러스 서면점,부산광역시 부산진구 동천로 4,35.1495471,129.0648567,051-644-2080
홈플러스 서부산점,부산광역시 사상구 광장로 7,35.1643625,128.9780222,051-319-8000
홈플러스 서수원점,경기도 수원시 권선구 금곡동 160,37.2741197,126.9546915,031-8019-1000
홈플러스 서울남현점,서울특별시 관악구 과천대로 909,37.471482,126.9826404,02-6948-8000
홈플러스 서울상봉점,서울특별시 중랑구 망우로 353,37.5977195,127.0932913,02-6922-8100
홈플러스 성서점,대구광역시 달서구 달구벌대로 1467,35.8494607,128.5274266,053-550-8000
홈플러스 세종점,세종특별자치시 절재로 154,36.5073954,127.2582255,044-715-8000
홈플러스 센텀시티점,부산광역시 해운대구 센텀동로 6,35.1709359,129.1337096,051-709-8000
홈플러스 송탄점,경기도 평택시 경기대로 1103,37.0449989,127.0595265,031-8053-8000
홈플러스 순천점,전라남도 순천시 신월큰길 10,34.9612098,127.5203199,061-729-8000
홈플러스 순천풍덕점,전라남도 순천시 팔마로 222,34.939919,127.5087775,061-746-2080
홈플러스 시화점,경기도 시흥시 희망공원로 269,37.3451537,126.7252272,031-310-8000
홈플러스 시흥점,서울특별시 금천구 시흥대로 201,37.4519767,126.900714,02-895-2080
홈플러스 신내점,서울특별시 중랑구 신내로 201,37.6157539,127.0937534,02-2024-8000
홈플러스 신도림점,서울특별시 구로구 경인로 661,37.5093957,126.8877258,02-2618-2080
홈플러스 아시아드점,부산광역시 연제구 종합운동장로 7,35.1913249,129.064287,051-500-8000
홈플러스 안동점,경상북도 안동시 경동로 656,36.5548968,128.7551302,054-840-8300
홈플러스 안산고잔점,경기도 안산시 단원구 광덕대로 175,37.3118792,126.828927,031-445-2080
홈플러스 안산선부점,경기도 안산시 단원구 삼일로 316,37.3337344,126.8125731,031-400-8000
홈플러스 안양점,경기도 안양시 동안구 엘에스로 92,37.3710995,126.9509572,031-459-2080
홈플러스 야탑점,경기도 성남시 분당구 성남대로925번길 16,37.4130682,127.1272313,031-705-2080
홈플러스 영도점,부산광역시 영도구 대교로14번길 57,35.0959061,129.0442397,051-419-8000
홈플러스 영등포점,서울특별시 영등포구 당산로 42,37.5181712,126.8959156,02-2165-8000
홈플러스 영주점,경상북도 영주시 대학로 29,36.8091234,128.6212585,054-630-8000
홈플러스 영통점,경기도 수원시 영통구 봉영로 1576,37.251781,127.0725948,031-201-8000
홈플러스 오산점,경기도 오산시 수청동 252,37.1701788,127.0615097,031-8077-8800
홈플러스 오창점,충청북도 청원군 오창읍 중심상업1로 8-11,36.7129571,127.4281238,043-249-8000
홈플러스 울산남구점,울산광역시 남구 수암로 148,35.5264357,129.3227174,052-270-8000
홈플러스 울산동구점,울산광역시 동구 방어진 순환도로 637,35.4989324,129.4274814,052-230-8000
홈플러스 울산북구점,울산광역시 북구 신답로 26,35.6301104,129.3448376,052-293-2080
홈플러스 울산점,울산광역시 중구 번영로 475,35.5644023,129.334889,052-290-8000
홈플러스 원주점,강원도 원주시 치악로 1489,37.2430762,128.0626989,033-769-8700
홈플러스 원천점,경기도 수원시 영통구 중부대로 437,37.2700194,127.0635891,031-252-2080
홈플러스 월곡점,서울특별시 성북구 화랑로 76,37.6017142,127.0404475,02-3669-8000
홈플러스 월드컵점,서울특별시 마포구 성산동 515 홈플러스월드컵점,37.5677584,126.8981147,02-312-2080
홈플러스 유성점,대전광역시 유성구 한밭대로 502,36.3584437,127.3542548,042-841-2080
홈플러스 의정부점,경기도 의정부시 청사로 38,37.7521309,127.0710005,031-850-8000
홈플러스 익산점,전라북도 익산시 무왕로 1035,35.9592947,126.9671608,063-859-8000
홈플러스 인천논현점,인천광역시 남동구 청능대로 596,37.4004201,126.725561,032-455-8000
홈플러스 인천송도점,인천광역시 연수구 송도동 168-3,37.3839118,126.6438546,032-834-8543
홈플러스 인천숭의점,인천광역시 남구 석정로 51,37.4649629,126.6706778,032-719-2000
홈플러스 인천연수점,인천광역시 연수구 청능대로 210,37.4136276,126.6759721,032-430-8000
홈플러스 인천청라점,인천광역시 서구 중봉대로 587,37.5208488,126.6485304,032-723-8800
홈플러스 인하점,인천광역시 미추홀구 소성로 6,37.4470266,126.650843,032-763-2080
홈플러스 일산점,경기도 고양시 일산동구 중앙로 1275번길 64,37.6590106,126.7688507,031-925-2080
홈플러스 작전점,인천광역시 계양구 계양대로 27,37.5261357,126.7212508,032-540-8000
홈플러스 잠실점,서울특별시 송파구 올림픽로35가길 16,37.5213517,127.1026097,02-3468-8000
홈플러스 장림점,부산광역시 사하구 다대로 225,35.0822777,128.9782104,051-466-2080
홈플러스 전주완산점,전라북도 전주시 완산구 기린대로 170,35.8237098,127.1500613,063-263-2080
홈플러스 전주점,전라북도 전주시 덕진구 백제대로 771,35.8475063,127.1529005,063-249-8000
홈플러스 전주효자점,전라북도 전주시 완산구 용머리로 31,35.806564,127.1140752,063-281-8000
홈플러스 조치원점,세종특별자치시 조치원읍 허만석로 60,36.5863076,127.2977319,044-861-8100
홈플러스 죽도점,경상북도 포항시 북구 중흥로 328,36.0308229,129.3650762,054-288-8000
홈플러스 중계점,서울특별시 노원구 동일로 204가길 12,37.639815,127.0686402,02-986-2080
홈플러스 진접점,경기도 남양주시 진접읍 장현리 216-1,37.7215024,127.1887919,031-570-8000
홈플러스 진주점,경상남도 진주시 대신로 304,35.1875681,128.117722,055-771-8000
홈플러스 진해점,경상남도 창원시 진해구 충장로 356,35.1531941,128.6911787,055-540-8000
홈플러스 창원점,경상남도 창원시 의창구 창원대로 415,35.2340317,128.6436323,055-270-8000
홈플러스 천안신방점,충청남도 천안시 동남구 신촌1길 23,36.7871202,127.1205669,041-552-2080
홈플러스 천안점,충청남도 천안시 동남구 천안대로 574 (구성동),36.7991008,127.1655385,041-590-8000
홈플러스 청주성안점,충청북도 청주시 상당구 사직대로 346,36.6359802,127.4857896,043-259-2080
홈플러스 청주점,충청북도 청주시 흥덕구 서부로 1291,36.6153736,127.4422122,043-251-8000
홈플러스 춘천점,강원도 춘천시 김유정로 1840,37.8505752,127.7347271,033-269-8000
홈플러스 칠곡점,대구광역시 북구 동암로12길 8,35.944848,128.5559605,053-607-8000
홈플러스 킨텍스점,경기도 고양시 일산서구 호수로 817,37.6677307,126.7510438,031-960-7000
홈플러스 파주문산점,경기도 파주시 문산읍 방촌로 1759,37.869827,126.7855122,031-960-8000
홈플러스 파주운정점,경기도 파주시 청암로 17번길 17 (목동동927번지),37.7224357,126.7441741,031-8035-1300
홈플러스 평촌점,경기도 안양시 동안구 동안로 162,37.3934571,126.9511178,031-470-8000
홈플러스 평택안중점,경기도 평택시 안중읍 서동대로 1489,36.9901995,126.91638,031-8046-8200
홈플러스 포천송우점,경기도 포천시 소흘읍 솔모루로 9,37.8242646,127.1412717,031-540-7000
홈플러스 포항점,경상북도 포항시 남구 중흥로 77,36.0127506,129.348903,054-249-2080
홈플러스 합정점,서울특별시 마포구 양화로 45,37.5489656,126.9134767,02-6938-8800
홈플러스 해운대점,부산광역시 해운대구 해운대해변로 140,35.1584328,129.1464512,051-532-2080
홈플러스 화성동탄점,경기도 화성시 동탄중앙로 200,37.202769,127.0684906,031-8015-7000
홈플러스 화성향남점,경기도 화성시 향남읍 향남로 402,37.1306958,126.9218482,031-8059-8700
