,store,address,contact
79,이마트 여의도점,서울특별시 영등포구 여의동로3길 10 ,02-2280-1234
80,이마트 여주점,경기도 여주시 세종로 151 ,031-887-6123
81,이마트 역삼점,서울특별시 강남구 역삼로 310 ,02-6908-1234
82,이마트 연수점,인천광역시 연수구 경원대로 184 ,032-820-1234
83,이마트 연제점,부산 연제구 연수로 89 이마트 연제점,"  
								
								08. 28. (일)
								
								
								
								"
84,이마트 영등포점,서울특별시 영등포구 영중로 15 ,02-3468-1234
85,이마트 영천점,경상북도 영천시 최무선로 83 ,054-330-1234
86,이마트 오산점,경기도 오산시 경기대로 181 ,031-369-7123
87,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,02-6438-1234
88,이마트 용산점,서울특별시 용산구  한강대로23길 55 ,02-6363-2200
89,이마트 용인점,경기도 용인시 처인구 명지로 53 이마트 용인점,031-326-1234
90,이마트 울산점,울산광역시 남구 남중로 48 ,052-220-1234
91,이마트 원주점,강원 원주시 북원로 1928 ,033-749-1234
92,이마트 월계점,서울특별시 노원구 마들로3길 15 이마트 월계점,02-2092-1234
93,이마트 월배점,대구 달서구 진천로 92 이마트 월배점,053-607-1234
94,이마트 은평점,서울 은평구 은평로 111 이마트 은평점,02-380-1234
95,이마트 의왕점,"경기 의왕시 경수대로 262 (오전동, 서해그랑블) B1F~B2F 이마트의왕점",031-8063-1234
96,이마트 의정부점,경기 의정부시 민락로 210 ,031-850-1234
97,이마트 이수점,서울특별시 동작구 사당로 300 이수자이 B1,02-595-1234
98,이마트 이천점,경기 이천시 이섭대천로 1440-50 ,031-644-8123
99,이마트 익산점,전라북도 익산시 평동로 705 ,063-860-1234
100,이마트 일산점,경기 고양시 일산동구 중앙로 1124 ,"  
								
								08. 24. (수)
								
								
								
								"
101,이마트 자양점,서울특별시 광진구 아차산로 272 ,02-2024-1234
102,이마트 전주점,전북 전주시 완산구 당산로 111 ,063-259-1234
103,이마트 제주점,제주특별자치도 제주시 탑동로 38 ,064-729-1234
104,이마트 제천점,충청북도 제천시 장평천로 11 ,043-641-1234
105,이마트 죽전점,경기도 용인시 수지구 포은대로 552 ,031-888-1234
106,이마트 중동점,"경기 부천시 석천로 188 (중동, (주)신세계이마트중동점) ","  
								
								08. 28. (일)
								
								
								
								"
107,이마트 진접점,경기도 남양주시 진접읍 금강로유연들1길 154 ,031-522-1234
108,이마트 진주점,경남 진주시 진양호로 477 ,055-749-1234
109,이마트 창동점,서울 도봉구 노해로 65길 4 ,02-901-1234
110,이마트 창원점,경상남도 창원시 성산구 원이대로 608 ,055-211-1234
111,이마트 천안서북점,충남 천안시 서북구 삼성대로 20 ,041-580-9123
112,이마트 천안점,충남 천안시 서북구 충무로 187 ,041-620-1234
113,이마트 천안터미널점,충청남도 천안시 동남구 만남로 43 ,041-411-1234
114,이마트 천호점,서울 강동구 천호대로 1017 ,02-2224-1234
115,이마트 청계천점,서울특별시 중구 청계천로 400 ,02-2290-1234
116,이마트 청주점,충북 청주시 서원구 청남로 1853 ,043-210-1234
117,이마트 춘천점,강원도 춘천시 경춘로 2353 ,"  
								
								08. 28. (일)
								
								
								
								"
118,이마트 충주점,충북 충주시 중원대로 3420 ,043-841-1234
119,이마트 칠성점,대구 북구 침산로 93 ,053-609-1234
120,이마트 킨텍스점,경기도 고양시 일산서구 킨텍스로 171(대화동) ,031-936-1123
121,이마트 태백점,강원도 태백시 굴거랑길 4 ,033-580-1234
122,이마트 통영점,경상남도 통영시 광도면 죽림4로 9 ,055-650-1234
123,이마트 파주운정점,경기도 파주시 한울로 123 ,031-931-2123
124,이마트 파주점,경기도 파주시 당하길 10 ,"  
								
								08. 24. (수)
								
								
								
								"
125,노브랜드 수원천천점,경기 수원시 장안구 정자로20번길 10 (천천동) ,031-271-9116
126,이마트 평촌점,경기도 안양시 동안구 시민대로 300 ,031-687-1234
127,이마트 평택점,경기 평택시 영신로 29 ,031-371-1234
128,이마트 포천점,경기도 포천시 호국로 915 ,031-540-1234
129,이마트 포항이동점,경북 포항시 북구 대이로 188 ,054-721-1234
130,이마트 포항점,경북 포항시 남구 냉천로 10 ,054-223-1234
131,이마트 풍산점,경기 고양시 일산동구 무궁화로 237 ,031-910-1234
132,이마트 하남점,경기도 하남시 덕풍서로 70 ,"  
								
								08. 24. (수)
								
								
								
								"
133,이마트 하월곡점,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",02-6936-1234
134,이마트 해운대점,부산 해운대구 좌동순환로 511 ,"  
								
								08. 28. (일)
								
								
								
								"
135,이마트 화성봉담점,경기도 화성시 봉담읍 효행로 278 ,031-228-1234
136,이마트 화정점,경기도 고양시 덕양구 백양로 79 ,031-995-1234
137,이마트 흥덕점,경기도 용인시 기흥구 흥덕중앙로 60 ,"  
								
								08. 28. (일)
								
								
								
								"
